Scientific.name,Common.name,Iconic.taxon.name,Taxon #,Place.guess,Latitude,Longitude
Ypsolopha dentella,Honeysuckle Moth,Insecta,207523,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Zelleria haimbachi,Pine Needle Sheathminer,Insecta,233970,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Digrammia continuata,Curve-lined Angle,Insecta,218436,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Archips packardiana,Spring Spruce Needle Moth,Insecta,214085,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Protoboarmia porcelaria,Porcelain Gray,Insecta,143867,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Schizura ipomaeae,Morning-glory Prominent,Insecta,204014,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Zanclognatha jacchusalis,Wavy-lined Fan-foot,Insecta,133625,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Costaconvexa centrostrigaria,Bent-line Carpet Moth,Insecta,143005,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Sphinx kalmiae,Laurel Sphinx,Insecta,117452,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Schizura badia,Chestnut Schizura Moth,Insecta,230605,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Acronicta noctivaga,Night-wandering Dagger,Insecta,212445,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Sphinx poecila,Northern Apple Sphinx,Insecta,231396,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Diachrysia aereoides,Dark-spotted Looper Moth,Insecta,218297,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Callopistria mollissima,Pink-shaded Fern Moth,Insecta,199999,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Lacinipolia renigera,Bristly Cutworm Moth,Insecta,81657,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Notodonta scitipennis,Finned-willow Prominent Moth,Insecta,226023,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Arctia parthenos,St. Lawrence Tiger Moth,Insecta,790921,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Pachysphinx modesta,Modest Sphinx,Insecta,143445,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Metalectra discalis,Common Fungus Moth,Insecta,153304,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Polia imbrifera,Cloudy Arches Moth,Insecta,228481,"Winter Harbor, ME, USA",44.33667388,-68.06200947
Polia imbrifera,Cloudy Arches Moth,Insecta,228481,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Spiramater lutra,Otter Spiramater Moth,Insecta,231412,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Agrotis ipsilon,Ipsilon Dart Moth,Insecta,126276,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Orthodes majuscula,Rustic Quaker,Insecta,194598,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Ochropleura implecta,Flame-shouldered Dart,Insecta,143121,"Winter Harbor, ME, USA",44.33547417,-68.06086063
Xestia dolosa,Greater Black-letter Dart,Insecta,143123,"Winter Harbor, ME, USA",44.33547417,-68.06086063
