Subject Name,Scientific.Name
rosarypea,Abrus precatorius
hairy Indian mallow,Abutilon grandifolium
velvetleaf,Abutilon theophrasti
earleaf acacia,Acacia auriculiformis
cootamundra wattle,Acacia baileyana
cyclops acacia,Acacia cyclops
silver wattle,Acacia dealbata
Sydney golden wattle,Acacia longifolia
black wattle,Acacia mearnsii
black acacia,Acacia melanoxylon
kangaroothorn,Acacia paradoxa
golden wattle,Acacia pycnantha
everblooming acacia,Acacia retinodest
biddy-biddy,Acaena novae-zelandiae
bear's breech,Acanthus mollis
hedge maple,Acer campestre
Amur maple,Acer ginnala
boxelder,Acer negundo
Japanese maple,Acer palmatum
Norway maple,Acer platanoides
Sycamore maple,Acer pseudoplatanus
fernleaf yarrow,Achillea filipendulina
western yarrow,Achillea millefolium var. occidentalis
sneezewort yarrow,Achillea ptarmica
punagrass,Achnatherum brachychaetum
Indian ricegrass,Achnatherum hymenoides
Japanese chaff flower,Achyranthes japonica
mother-of-thyme,Acinos arvensis
American sweetflag,Acorus calamus
tara vine,Actinidia arguta
red beadtree,Adenanthera pavonina
rough maidenhair fern,Adiantum hispidulum
delta maidenhair,Adiantum raddianum
jointed goatgrass,Aegilops cylindrica
ovate goatgrass,Aegilops geniculata
barb goatgrass,Aegilops triuncialis
goutweed,Aegopodium podagraria
Ohio buckeye,Aesculus glabra
common horse chestnut,Aesculus hippocastanum
sisal,Agave sisalana
croftonweed,Ageratina adenophora
white snakeroot,Ageratina altissima var. altissima
creeping croftonweed,Ageratina riparia
tropic ageratum,Ageratum conyzoides
crested wheatgrass,Agropyron cristatum
desert wheatgrass,Agropyron desertorum
Siberian wheatgrass,Agropyron fragile
corn cockle,Agrostemma githago
Pacific bentgrass,Agrostis avenacea
velvet bentgrass,Agrostis canina
colonial bentgrass,Agrostis capillaris
redtop,Agrostis gigantea
creeping bentgrass,Agrostis stolonifera
tree-of-heaven,Ailanthus altissima
silver hairgrass,Aira caryophyllea
carpet bugle,Ajuga reptans
chocolate vine,Akebia quinata
mimosa,Albizia julibrissin
woman's tongue tree,Albizia lebbeck
hollyhock,Alcea rosea
lady's-mantle,Alchemilla mollis
ladysmantle,Alchemilla monticola
waterwheel plant,Aldrovanda vesiculosa
camelthorn,Alhagi maurorum
golden trumpet,Allamanda cathartica
garlic mustard,Alliaria petiolata
cultivated garlic,Allium sativum
wild garlic,Allium vineale
wild garlic,Allium vineale ssp. vineale
European black alder,Alnus glutinosa
creeping meadow foxtail,Alopecurus arundinaceus
water foxtail,Alopecurus geniculatus
slender meadow foxtail,Alopecurus myosuroides
meadow foxtail,Alopecurus pratensis Linnaeus
red ginger,Alpinia purpurata
deviltree,Alstonia macrophylla
alligatorweed,Alternanthera philoxeroides
sessile joyweed,Alternanthera sessilis
alyceclover,Alysicarpus vaginalis
yellow alyssum,Alyssum alyssoides
yellowtuft,Alyssum corsicum
yellowtuft,Alyssum murale
redroot pigweed,Amaranthus retroflexus
spiny amaranth,Amaranthus spinosus
pigweed,Amaranthus spp.
slender amaranth,Amaranthus viridis
common ragweed,Ambrosia artemisiifolia
skeletonleaf bursage,Ambrosia tomentosa
giant ragweed,Ambrosia trifida
European beachgrass,Ammophila arenaria
indigobush,Amorpha fruticosa
porcelain-berry,Ampelopsis glandulosa var. brevipedunculata
tarweed fiddleneck,Amsinckia lycopsoides
Menzies' fiddleneck,Amsinckia menziesii
scarlet pimpernel,Anagallis arvensis
small bugloss,Anchusa arvensis
Italian bugloss,Anchusa azurea
common bugloss,Anchusa officinalis
broomsedge bluestem,Andropogon virginicus
oriental vessel fern,Angiopteris evecta
stinking chamomile,Anthemis cotula
sweet vernalgrass,Anthoxanthum odoratum
sweet vernalgrass,Anthoxanthum odoratum ssp. odoratum
bur chervil,Anthriscus caucalis
wild chervil,Anthriscus sylvestris
coral vine,Antigonon leptopus
wild celery,Apium graveolens
alpine rockcress,Arabis alpina
Japanese angelica tree,Aralia elata
white bladderflower,Araujia sericifera
great burdock,Arctium lappa
common burdock,Arctium minus
burdock,Arctium spp.
capeweed,Arctotheca calendula
creeping capeweed,Arctotheca prostrata
coral ardisia,Ardisia crenata
shoebutton ardisia,Ardisia elliptica
Japanese ardisia,Ardisia japonica
thymeleaf sandwort,Arenaria serpyllifolia
elegant dutchman's pipe,Aristolochia elegans
horseradish,Armoracia rusticana
tall oatgrass,Arrhenatherum elatius
tall oatgrass,Arrhenatherum elatius var. elatius
absinth wormwood,Artemisia absinthium
annual wormwood,Artemisia annua
biennial wormwood,Artemisia biennis
mugwort,Artemisia vulgaris
common wormwood,Artemisia vulgaris var. vulgaris
"small carpetgrass, joint-head grass",Arthraxon hispidus
hairy jointgrass,Arthraxon hispidus var. hispidus
Italian arum,Arum italicum
bamboo orchid,Arundina graminifolia
giant reed,Arundo donax
bloodflower milkweed,Asclepias curassavica
balloon cottonbush,Asclepias physocarpa
showy milkweed,Asclepias speciosa
Sprenger's asparagus fern,Asparagus aethiopicus
African asparagus fern,Asparagus asparagoides
catchweed,Asperugo procumbens
onionweed,Asphodelus fistulosus
chickpea milkvetch,Astragalus cicer
Chinese violet,Asystasia gangetica
garden orach,Atriplex hortensis
halberdleaf orach,Atriplex patula
Australian saltbush,Atriplex semibaccata
peregrine saltbush,Atriplex suberecta
Japanese laurel,Aucuba japonica
basket of gold,Aurinia saxatilis
slender oat,Avena barbata
wild oat,Avena fatua
oat,Avena sativa
broadleaf carpetgrass,Axonopus compressus
carpetgrass,Axonopus fissifolius
Russian pigweed,Axyris amaranthoides
common bamboo,Bambusa vulgaris
early wintercress,Barbarea verna
yellow rocket,Barbarea vulgaris
fivehook bassia,Bassia hyssopifolia
Mexican fireweed,Bassia scoparia
mountain ebony,Bauhinia variegata
clubed begonia,Begonia cucullata
bellardia,Bellardia trixago
English daisy,Bellis perennis
Darwin's berberis,Berberis darwinii
wintergreen barberry,Berberis julianae
Japanese barberry,Berberis thunbergii
common barberry,Berberis vulgaris
hoary alyssum,Berteroa incana
European birch,Betula pendula
spanishneedles,Bidens bipinnata
nodding beggarticks,Bidens cernua
devils beggarticks,Bidens frondosa
hairy beggarticks,Bidens pilosa
Javanese bishopwood,Bischofia javanica
common borage,Borago officinalis
paperflower,Bougainvillea glabra
annual false-brome,Brachypodium distachyon
perennial false-brome,Brachypodium sylvaticum
Indian mustard,Brassica juncea
rapeseed,Brassica napus
black mustard,Brassica nigra
birdsrape mustard,Brassica rapa
African mustard,Brassica tournefortii
snowbush,Breynia disticha
big quakinggrass,Briza maxima
little quakinggrass,Briza minor
field brome,Bromus arvensis
rattlesnake brome,Bromus briziformis
rescuegrass,Bromus catharticus
ripgut brome,Bromus diandrus
ripgut brome,Bromus diandrus ssp. Rigidus
soft brome,Bromus hordeaceus
soft brome,Bromus hordeaceus ssp. hordeaceus
smooth brome,Bromus inermis
smooth brome,Bromus inermis ssp. inermis var. inermis
Japanese brome,Bromus japonicus
bald brome,Bromus racemosus
red brome,Bromus rubens
rye brome,Bromus secalinus
poverty brome,Bromus sterilis
cheatgrass,Bromus tectorum
paper-mulberry,Broussonetia papyrifera
red mangrove,Bruguiera gymnorhiza
white bryony,Bryonia alba
butterflybush,Buddleja davidii
Lindley's butterflybush,Buddleja lindleyana
corn gromwell,Buglossoides arvensis
flowering rush,Butomus umbellatus
Carolina fanwort,Cabomba caroliniana
paradise poinciana,Caesalpinia gilliesii
pigeon pea,Cajanus cajan
European sea-rocket,Cakile maritima
pot marigold,Calendula officinalis
purple beautyberry,Callicarpa dichotoma
