park.name,park.code,park.slug
Acadia National Park,ACAD,2016-national-parks-bioblitz-acadia-lepidoptera-bioblitz
Antietam National Cemetery,ANCM,2016-national-parks-bioblitz-antietam-grassland-birds
Appomattox Court House National Historical Park,APCO,2016-national-parks-bioblitz-explore-the-natural-side-of-appomattox-court-house
Apostle Islands National Lakeshore,APIS,2016-national-parks-bioblitz-apostle-islands
Assateague Island National Seashore,ASIS,2016-national-parks-bioblitz-assateague-island
Aztec Ruins National Monument,AZRU,2016-national-parks-bioblitz-aztec-ruins-bugblitz-may
Bandelier National Monument,BAND,2016-national-parks-bioblitz-bandelier
Bering Land Bridge National Preserve,BELA,2016-national-parks-bioblitz-bering-land-bridge
Big Thicket National Preserve,BITH,2016-national-parks-bioblitz-big-thicket-mini-bioblitz
Boston Harbor Islands National Recreation Area,BOHA,2016-national-parks-bioblitz-boston-harbor-islands
Buffalo National River,BUFF,2016-national-parks-bioblitz-caddisflies-of-buffalo-national-river
Cabrillo National Monument,CABR,2016-national-parks-bioblitz-cabrillo-urban-island-bioblitz
California National Historic Trail,CALI,2016-national-parks-bioblitz-southern-california-coastal
Carl Sandburg Home National Historic Site,CARL,2016-national-parks-bioblitz-carl-sandburg-home
Catoctin Mountain Park,CATO,2016-national-parks-bioblitz-catoctin-insect-bioblitz
Capulin Volcano National Monument,CAVO,2016-national-parks-bioblitz-capulin-volcano
Cedar Breaks National Monument,CEBR,2016-national-parks-bioblitz-cedar-breaks-bats-birds-and-bugs
Cesar E. Chavez National Monument,CECH,2016-national-parks-bioblitz-cesar-e-chavez
Chiricahua National Monument,CHIR,2016-national-parks-bioblitz-chiricahua-birds-bugs-and-botany
Channel Islands National Park,CHIS,2016-national-parks-bioblitz-channel-islands
Chesapeake and Ohio Canal National Historical Park,CHOH,2016-national-parks-bioblitz-c-o-canal-biodiversity-celebration
Charles Pinckney National Historic Site,CHPI,2016-national-parks-bioblitz-charles-pinckney
City Of Rocks National Reserve,CIRO,2016-national-parks-bioblitz-city-of-rocks-birds-and-blooms
Claude Moore Colonial Farm,CLMO,2016-national-parks-bioblitz-colonial-butterflyblitz
Congaree National Park,CONG,2016-national-parks-bioblitz-congaree
Coronado National Memorial,CORO,2016-national-parks-bioblitz-coronado-birds-bugs-and-botany
Cowpens National Battlefield,COWP,2016-national-parks-bioblitz-cowpens
Crater Lake National Park,CRLA,2016-national-parks-bioblitz-crater-lake-meet-the-beetles
Craters of the Moon National Monument and Preserve,CRMO,2016-national-parks-bioblitz-craters-of-the-moon-lichen-blitz
